dt|tmp
2022-05-06 16:34:41.084000|0
2022-05-06 16:37:42.144000|0
2022-05-06 16:37:42.144000|0
2022-05-06 16:39:42.968000|1
2022-05-06 16:39:42.968000|2
2022-05-06 16:41:07.106000|2
2022-05-06 16:41:07.106000|1
2022-05-06 17:03:21.550000|1
2022-05-06 17:03:21.550000|1
2022-05-06 17:34:34.203000|1
2022-05-06 17:34:34.203000|2
2022-05-06 17:37:35.976000|1
2022-05-06 17:37:35.976000|2
2022-05-06 17:38:57.904000|2
2022-05-06 17:38:57.904000|1
2022-05-06 17:39:46.271000|1
2022-05-06 17:39:46.271000|2
2022-05-06 17:40:30.430000|1
2022-05-06 17:40:30.430000|2
2022-05-06 17:41:14.073000|1
2022-05-06 17:41:14.073000|2
2022-05-06 17:42:06.601000|1
2022-05-06 17:42:06.601000|2
2022-05-06 18:37:47.074000|3
2022-05-06 18:37:47.074000|2
2022-05-06 18:42:04.257000|2
2022-05-06 18:42:04.257000|1
2022-05-06 18:42:35.690000|2
2022-05-06 18:42:35.690000|1
2022-05-06 18:45:57.312000|1
2022-05-06 18:45:57.312000|0
2022-05-06 18:48:04.889000|3
2022-05-06 18:48:04.889000|2
2022-05-06 19:05:15.995000|3
2022-05-06 19:05:15.995000|2
2022-05-06 19:10:57.755000|3
2022-05-06 19:10:57.755000|4
2022-05-06 19:12:31.535000|1
2022-05-06 19:12:31.535000|1
2022-05-06 19:13:48.583000|2
2022-05-06 19:13:48.583000|1
2022-05-06 21:51:46.785000|1
2022-05-06 21:51:46.785000|2
2022-05-06 21:53:59.451000|2
2022-05-06 21:53:59.451000|1
2022-05-06 21:59:12.449000|2
2022-05-06 21:59:12.449000|3
2022-05-06 22:02:30.228000|2
2022-05-06 22:02:30.228000|4
2022-05-06 22:16:25.746000|2
2022-05-06 22:16:25.746000|1
2022-05-06 22:23:35.601000|2
2022-05-06 22:23:35.601000|4
2022-05-09 11:43:51.002000|2
2022-05-09 11:43:51.002000|3
2022-05-09 12:22:40.134000|1
2022-05-09 12:22:40.134000|2
2022-05-09 12:44:26.559000|2
2022-05-09 12:44:26.559000|3
2022-05-09 12:45:38.672000|1
2022-05-09 12:45:38.672000|3
2022-05-09 12:45:45.183000|4
2022-05-09 12:45:45.183000|4
2022-05-09 12:46:11.055000|3
2022-05-09 12:46:11.055000|4
2022-05-09 12:46:22.465000|1
2022-05-09 12:46:22.465000|2
2022-05-09 12:46:45.430000|1
2022-05-09 12:46:45.430000|1
2022-05-09 12:47:03.177000|1
2022-05-09 12:47:03.177000|1
2022-05-09 12:47:07.635000|1
2022-05-09 12:47:07.635000|2
2022-05-09 12:47:30.070000|1
2022-05-09 12:47:30.070000|2
2022-05-09 12:48:09.338000|1
2022-05-09 12:48:09.338000|2
2022-05-09 12:48:29.894000|1
2022-05-09 12:48:29.894000|2
2022-05-09 12:49:14.287000|3
2022-05-09 12:49:14.287000|1
2022-05-09 12:49:56.399000|1
2022-05-09 12:49:56.399000|2
2022-05-09 12:50:37.267000|1
2022-05-09 12:50:37.267000|3
2022-05-09 12:51:26.904000|3
2022-05-09 12:51:26.904000|1
2022-05-09 12:52:11.747000|3
2022-05-09 12:52:11.747000|1
2022-05-09 12:54:27.748000|0
2022-05-09 12:54:27.748000|0
2022-05-09 13:02:21.382000|2
2022-05-09 13:02:21.382000|1
2022-05-09 13:04:18.432000|2
2022-05-09 13:04:18.432000|1
2022-05-09 13:05:16.014000|1
2022-05-09 13:05:16.014000|2
2022-05-09 14:34:03.115000|3
2022-05-09 14:34:03.115000|1
2022-05-09 14:46:47.933000|1
2022-05-09 14:46:47.933000|1
2022-05-09 15:13:12.374000|1
2022-05-09 15:13:12.374000|158
2022-05-09 15:17:15.466000|2
2022-05-09 15:17:15.466000|1
2022-05-09 15:30:03.767000|10
2022-05-09 15:30:03.767000|1
2022-05-09 16:29:28.942000|1
2022-05-09 16:29:28.942000|2
2022-05-09 17:30:27.677000|1
2022-05-09 17:30:27.677000|0
2022-05-09 18:08:18.599000|1
2022-05-09 18:08:18.599000|3
2022-05-09 18:25:12.990000|1
2022-05-09 18:25:12.990000|35
2022-05-10 12:30:27.714000|2
2022-05-10 12:30:27.714000|6
2022-05-10 16:41:48.668000|266
2022-05-10 16:41:48.668000|1
2022-05-10 17:17:51.995000|1
2022-05-10 17:17:51.995000|3
2022-05-10 17:19:57.809000|4
2022-05-10 17:19:57.809000|2
2022-05-10 17:36:17.414000|2
2022-05-10 17:36:17.414000|1
2022-05-10 18:29:22.465000|1
2022-05-10 18:29:22.465000|1
2022-05-11 09:40:03.319000|7
2022-05-11 09:40:03.319000|9
2022-05-11 10:00:40.676000|2
2022-05-11 10:00:40.676000|3
2022-05-11 10:22:31.513000|4
2022-05-11 10:22:31.513000|2
2022-05-11 10:27:47.897000|2
2022-05-11 10:27:47.897000|1
2022-05-11 10:36:30.062000|2
2022-05-11 10:36:30.062000|3
2022-05-11 10:46:09.571000|3
2022-05-11 10:46:09.571000|4
2022-05-11 10:47:00.980000|3
2022-05-11 10:47:00.980000|4
2022-05-11 10:56:06.372000|2
2022-05-11 10:56:06.372000|3
2022-05-11 12:06:53.823000|2
2022-05-11 12:06:53.823000|4
2022-05-11 12:11:59.947000|2
2022-05-11 12:11:59.947000|4
2022-05-11 12:14:01.782000|3
2022-05-11 12:14:01.782000|6
2022-05-11 12:18:07.367000|6
2022-05-11 12:18:07.367000|3
2022-05-11 12:19:36.711000|6
2022-05-11 12:19:36.711000|3
2022-05-11 12:20:25.694000|3
2022-05-11 12:20:25.694000|6
2022-05-11 12:21:17.439000|6
2022-05-11 12:21:17.439000|3
2022-05-11 12:39:04.922000|4
2022-05-11 12:39:04.922000|2
2022-05-11 13:00:45.615000|5
2022-05-11 13:00:45.615000|3
2022-05-11 14:44:04.931000|2
2022-05-11 14:44:04.931000|161
2022-05-11 14:50:41.507000|3
2022-05-11 14:50:41.507000|2
2022-05-11 14:52:58.037000|2
2022-05-11 14:52:58.037000|3
2022-05-11 14:54:04.917000|2
2022-05-11 14:54:04.917000|3
2022-05-11 14:54:45.023000|3
2022-05-11 14:54:45.023000|2
2022-05-11 14:55:23.842000|3
2022-05-11 14:55:23.842000|1
2022-05-11 14:56:31.572000|2
2022-05-11 14:56:31.572000|1
2022-05-11 19:04:47.194000|1
2022-05-11 19:04:47.194000|1
2022-05-12 17:09:38.953000|31
2022-05-12 17:09:38.953000|1
2022-05-12 17:13:08.323000|2
2022-05-12 17:13:08.323000|4
2022-05-12 17:17:05.716000|1
2022-05-12 17:17:05.716000|294
2022-05-12 17:22:03.653000|1
2022-05-12 17:22:03.653000|1
2022-05-12 17:23:37.138000|3
2022-05-12 17:23:37.138000|2
2022-05-12 18:30:29.029000|1
2022-05-12 18:30:29.029000|136
2022-05-13 10:37:25.532000|4
2022-05-13 10:37:25.532000|7
2022-05-13 10:38:43.960000|1
2022-05-13 10:38:43.960000|1
2022-05-13 12:22:19.144000|1
2022-05-13 12:22:19.144000|3
2022-05-13 12:23:21.064000|1
2022-05-13 12:23:21.064000|1
2022-05-16 12:19:12.505000|4
2022-05-16 12:19:12.505000|3
2022-05-16 12:20:35.815000|2
2022-05-16 12:20:35.815000|4
2022-05-16 12:21:07.502000|1
2022-05-16 12:21:07.502000|2
2022-05-16 12:57:15.213000|1
2022-05-16 12:57:15.213000|2
2022-05-16 14:31:54.434000|1
2022-05-16 14:31:54.434000|2
2022-05-17 10:30:36.294000|2
