titulo,cluster
Angra dos Reis agenda castração gratuita de cães e gatos,156
Teoria racista da 'grande substituição' motivou autor do massacre em Buffalo,155
EUA em choque após massacre racista em Buffalo,155
"O que é a 'teoria da substituição', tese racista que teria motivado atentado nos EUA",155
"O que é a 'teoria da substituição', tese racista que teria motivado atentado nos EUA",155
McDonald's diz que funcionários russos não perderão empregos,154
Restaurantes do McDonald's começam a ser desmontados na Rússia; veja imagens,154
McDonald's chega a acordo para vender restaurantes na Rússia a empresário local,154
McDonald's anuncia saída total de Rússia,154
McDonald's inicia desmontagem de restaurantes na Rússia,154
McDonald's chega a um acordo para vender estabelecimentos na Rússia,154
"Além da Rússia, conheça outros países que não têm mais McDonald's",154
McDonald's anuncia acordo para venda de unidades na Rússia,154
"Após 3 décadas, McDonald's anuncia saída total da Rússia",154
McDonald’s fecha acordo para venda da marca na Rússia,154
McDonald’s é processado ​​por vender hambúrguer menor do que anunciado,154
O que é a varíola dos macacos e quais os sintomas da doença: resumo,153
Argentina confirma primeiro caso de varíola do macaco na América Latina,153
Israel confirma primeiro caso de varíola do macaco,153
"Varíola dos macacos: qual a diferença da doença para a varíola humana, erradicada há 40 anos",153
Israel e Suíça registram primeiros casos de varíola do macaco enquanto Espanha compra vacinas,153
"Varíola dos macacos: brasileiro passa bem e tem poucos sintomas, diz clínica alemã",153
"Varíola do macaco: Argentina tem primeiro caso suspeito; 'É uma emergência sanitária', diz médico",153
Argentina registra 1º caso suspeito de varíola dos macacos no país,153
Varíola dos macacos: o que se sabe sobre rara infecção viral que está deixando autoridades de saúde em alerta,153
1º caso de varíola dos macacos da América Latina é confirmado na Argentina,153
Varíola dos macacos: como se transmite e quais são os sintomas da doença,153
Argentina confirma dois casos de varíola dos macacos na América Latina,153
"Varíola dos macacos: qual a diferença da doença para a varíola humana, erradicada há 40 anos",153
Varíola dos macacos: o que se sabe sobre rara infecção viral que está deixando autoridades de saúde em alerta,153
Varíola dos macacos: o que se sabe sobre a doença,153
"'Varíola dos macacos pode chegar ao Brasil em pouco tempo', diz epidemiologista",153
Varíola dos macacos: o que se sabe sobre a mortalidade da doença,153
Varíola de macacos: brasileiro é 1º diagnosticado com a doença na Alemanha,153
Brasileiro tem 1º caso de varíola dos macacos registrado na Alemanha,153
Espanha confirma os sete primeiros casos de varíola do macaco,153
Varíola dos macacos: saiba mais sobre a doença e os casos registrados pelo mundo,153
Varíola dos macacos: como saber se irritação na pele pode ser a doença?,153
México confirma primeiro caso de varíola dos macacos,153
Varíola dos macacos: os países onde doença já foi detectada,153
Rússia vai cortar fornecimento de energia para Finlândia,152
Rússia anuncia corte total de fornecimento de gás para Finlândia a partir de sábado,152
Guerra na Ucrânia atrapalha fornecimento de gás russo e empurra Finlândia para Otan,152
"Putin vai cortar fornecimento de gás à Finlândia, diz estatal de energia",152
Rússia corta abastecimento de gás natural para a Finlândia,152
Privatização da Petrobras: o que é preciso fazer? Ainda dá tempo em 2022?,151
Privatização da Petrobras? Veja o que aconteceu com ex-estatais pelo mundo,151
Privatização da Petrobras? Veja o que aconteceu com ex-estatais pelo mundo,151
Privatização da Petrobras? Veja o que aconteceu com ex-estatais pelo mundo,151
Câmara aprova MP que abre crédito destinado à população quilombola,150
Congresso prorroga MP que amplia margem do crédito consignado,150
Congresso prorroga MP que amplia margem do crédito consignado,150
MP que amplia margem do crédito consignado é prorrogada,150
CNH Digital poderá ser usada para identificar candidatos do Enem,149
CNH Digital poderá ser usada para identificar candidatos do Enem,149
"CNH Digital poderá ser usada para identificar candidatos do Enem, confira!",149
CNH Digital poderá ser usada para identificar candidatos do Enem,149
"Morre policial israelense ferido em operação militar perto de Jenin, na Cisjordânia",148
VÍDEO: Polícia israelense e manifestantes se enfrentam em funeral de jornalista morta na Cisjordânia,148
Ataque de Israel na Cisjordânia mata jornalista da 'Al Jazeera'; vídeo mostra  resgate do corpo,148
Centenas de pessoas participam de funeral de jovem palestino morto por militares israelenses,148
VÍDEO: Policiais israelenses voltam a enfrentar palestinos em funeral de jovem em Jerusalém,148
"Vídeo de momento de morte de jornalista na Cisjordânia sugere que disparos partiram de israelenses, diz TV",148
Adolescente palestino morre por tiros da polícia israelense na Cisjordânia,148
Cadastro Único: 8 milhões de beneficiários de programas sociais terão que fazer atualização de cadastro,147
8 milhões de beneficiários terão que fazer atualização de Cadastro Único para manter pagamento dos benefícios,147
8 milhões precisam atualizar o Cadastro Único,147
Cadastro Único: 8 milhões de beneficiários terão que fazer atualização no programa,147
Homem é detido com mais de 40 pinos de cocaína em Divinópolis,146
Homem é preso com 13 kg de 'cocaína preta' em pacotes de maca peruana,146
"PF prende homem que tentava viajar para Portugal com 13 quilos de cocaína preta, no Aeroporto de Brasília",146
"Homem é preso com tabletes de crack, cocaína e maconha após deixar ônibus interestadual na Bahia",146
Homem é preso com 70 pinos recheados com cocaína,146
